certainty,subject,verb,object
1.0,talks,is with,Hanoi officials
1.0,Vietnamese,invite,United States
1.0,Robert O. Muller,director of,Vietnam Veterans
1.0,Robert O. Muller,urged,Vietnamese
1.0,Robert O. Muller,leader of,visiting group
1.0,Vietnam,has,relations with United States
1.0,step,would substantially improve,Vietnam 's relations
1.0,step,ease,logistical burdens
1.0,Such step,would improve,Vietnam 's relations with United States
1.0,step,would improve,Vietnam 's relations with United States
1.0,Vietnam 's relations,is with,United States
1.0,Such step,ease,logistical burdens
1.0,Such step,would substantially improve,Vietnam 's relations with United States
1.0,step,would improve,Vietnam 's relations
1.0,step,would substantially improve,Vietnam 's relations with United States
1.0,Such step,ease,burdens
1.0,Such step,would substantially improve,Vietnam 's relations
1.0,Such step,would improve,Vietnam 's relations
1.0,step,ease,burdens
1.0,Vo Hoang,director of,Vietnamese office
1.0,Vo Hoang,director in,charge finding
1.0,director,is in,charge finding
1.0,it,found,remains
1.0,it,found,remains of three United States airmen missing
0.5800796457374144,it,remains of,three United States airmen
1.0,it,found,remains of three United States airmen missing since Vietnam War
1.0,it,found,remains of three United States airmen
0.5800796457374144,it,remains of,three United States airmen missing since Vietnam War
1.0,Vietnam,announced at_time,today
0.5800796457374144,it,remains of,three United States airmen missing
1.0,Vu Hoang,director of,Vietnamese office
1.0,Vu Hoang,director in,charge finding
1.0,director,is in,charge finding
1.0,Vietnam,handed over,three wooden coffins
1.0,Vietnam,handed over,three coffins
1.0,remains,arrived at_time,today
1.0,Skeletal remains,arrived at_time,today
1.0,remains,arrived from,Thailand
1.0,Skeletal remains,arrived from,Thailand
0.5847782837306071,U.S. serviceman,arriving at,Travis Air Force Base
1.0,Coffin,said at_time,yesterday
1.0,Coffin,is with,remains of U.S. serviceman killed in Vietnam arriving at Travis Air Force Base from Hawaii The State Department
0.5847782837306071,U.S. serviceman,killed in,Vietnam
0.5847782837306071,U.S. serviceman,arriving from,Hawaii State Department
0.11982177299755592,Missing today,turned over to,American officials
0.11982177299755592,representative,turned over to,American officials
0.11982177299755592,Missing today,turned over to,officials
0.11982177299755592,representative,turned over to,officials
0.11982177299755592,Missing,turned over to,officials
0.11982177299755592,Missing,turned over to,American officials
1.0,Defense Department,said at_time,today
