certainty,subject,verb,object
1.0,Defense Secretary Dick Cheney,said at_time,today
1.0,missing Americans,is in,Southeast Asia
1.0,Bush Administration,has linked,scope
1.0,Hanoi,to,cooperation resolving
1.0,prisoners,is in,Vietnam
1.0,United States office,is in,Hanoi
1.0,head,told Senate committee at_time,today
1.0,head,told,Senate committee
1.0,head,accusing,Bush Administration officials
1.0,reports,is in,country
1.0,head,accusing Bush Administration officials,seeking
1.0,men,is in,photograph
1.0,Defense Department,said at_time,today
1.0,release,has stirred,new moves
1.0,members,express,doubt about picture 's authenticity
1.0,members,express,doubt
1.0,members,even express,doubt
0.6765033963557795,members,doubt about,picture 's authenticity
1.0,members,even express,doubt about picture 's authenticity
1.0,Administration,has,efforts account Vietnam War servicemen
1.0,picture,about,authenticity
1.0,release,has stirred,moves
1.0,release,examine,Administration 's efforts account
1.0,release,has stirred moves in,Congress
1.0,Brent Scowcroft,adviser 's,President
1.0,President,has,national security adviser
1.0,Defense Department,said at_time,today
1.0,action,is in,Southeast Asian nations
1.0,Senator John Kerry,said at_time,today
