certainty,subject,verb,object
1.0,United States Deputy Assistant Secretary,arrived on,trip
1.0,United States Deputy Assistant Secretary,arrived en,route to Hanoi
1.0,United States Deputy Assistant Secretary,arrived en,route
1.0,action,is in,Vietnam
1.0,United States Deputy Assistant Secretary,arrived on,trip designed
1.0,United States Deputy Assistant Secretary,arrived at_time,today
1.0,Foreign Minister Nguyen Co Thach,said at_time,today
1.0,Reagan Administration delegation,left Hanoi at_time,today
1.0,Reagan Administration delegation,left,Hanoi
1.0,Vietnamese cooperation,is in,"search for 2,500 Americans listed by Pentagon"
1.0,action,is in,Indochina
1.0,human remains,is in,search for Americans missing since Vietnam War
1.0,training,is in,identification of human remains
1.0,action,is in,Vietnam War
1.0,identification cards,were given by,Vietnamese Government
1.0,identification cards,were given to,group of Vietnam veterans
1.0,identification cards,were,given to group of Vietnam veterans by Vietnamese Government
1.0,identification cards,were given to,group
1.0,identification cards,were,given
1.0,identification cards,were,given to group by Government
1.0,identification cards,were given by,Government
1.0,identification cards,were,given to group by Vietnamese Government
1.0,identification cards,were,given to group of Vietnam veterans by Government
1.0,President Reagan,has,national security adviser
1.0,wreckage,is in,Laos
0.6659151699970588,Four Americans,looking for,relatives missing Vietnam War
1.0,her husband,2d of,Air Force
1.0,her,husband,Maj. Thomas T. Hart 2d of Air Force
1.0,Ann Hart,said in,telephone interview
1.0,Vietnam,will permit,searches
1.0,Vietnam,will permit,"searches for 2,500 United States servicemen"
0.5903186696318117,Washington,said at_time,today
1.0,Vietnam,will permit,"searches for 2,500 United States servicemen missing during war in Indochina"
1.0,Hanoi,relatives of,missing Americans
1.0,Washington,improves,ties with Hanoi
1.0,Vietnam,will permit,searches missing
1.0,Washington,improves,ties
1.0,Vietnam,will permit,"searches for 2,500 United States servicemen missing"
1.0,Vietnam,will permit,"searches for 2,500 United States servicemen missing during war"
1.0,Vietnam,will permit,searches missing during war in Indochina
1.0,ties,is with,Hanoi
0.644383082061711,Washington,ties with,Hanoi
1.0,Vietnam,will permit,searches missing during war
0.644383082061711,Washington,ties with,four relatives of missing Americans
0.644383082061711,Washington,ties with,four relatives
0.644383082061711,Washington,ties with,four relatives of Americans
1.0,war,is in,Indochina
0.5993233871466355,Four Americans,looking for,traces missing United States servicemen Laos
1.0,four Americans,all with,relatives missing in southeast Asia
1.0,friendly two-hour meeting,is with,Laotian officials
1.0,Relatives,held,friendly two-hour meeting
1.0,Relatives,held,friendly meeting
1.0,Relatives,held,very friendly meeting
1.0,Relatives,held,meeting
1.0,"2,500 missing Americans",is in,Indochina
1.0,Relatives,held,two-hour meeting
1.0,meeting,ended,two-week visit by delegation from Washington-based group searching for information on soldiers
1.0,meeting,ended,visit by delegation from private group searching
1.0,meeting,ended,visit to Laos by delegation from Washington-based group searching for information
1.0,meeting,ended,visit to Laos by delegation from private group searching for information
1.0,meeting,ended,two-week visit to Laos by delegation from private group searching for information on soldiers
1.0,meeting,ended,two-week visit by delegation from group searching for information
1.0,meeting,ended,visit to Laos by delegation from Washington-based group searching for information on soldiers
1.0,meeting,ended,two-week visit by delegation from private Washington-based group searching for information on soldiers
1.0,meeting,ended,two-week visit by delegation from Washington-based group searching for information
1.0,meeting,ended,visit
1.0,meeting,ended,two-week visit to Laos by delegation from Washington-based group searching for information on soldiers
1.0,meeting,ended,visit by delegation from Washington-based group searching for information on soldiers
1.0,meeting,ended,visit by delegation from private Washington-based group
1.0,meeting,ended,visit by delegation from private Washington-based group searching for information on soldiers
1.0,meeting,ended,two-week visit by delegation from group searching for information on American soldiers
1.0,meeting,ended,two-week visit to Laos by delegation from private group searching
1.0,meeting,ended,two-week visit to Laos by delegation from group
1.0,meeting,ended,two-week visit by delegation from private Washington-based group
1.0,meeting,ended,visit to Laos by delegation from Washington-based group searching
1.0,meeting,ended,two-week visit
1.0,meeting,ended,two-week visit by delegation
1.0,meeting,ended,two-week visit to Laos by delegation from group searching for information on soldiers
1.0,meeting,ended,visit by delegation from group searching
1.0,meeting,ended,visit by delegation from private group searching for information on soldiers
1.0,meeting,ended,visit to Laos by delegation from private Washington-based group
1.0,meeting,is in,Laotian capital of Vientiane
1.0,meeting,ended,visit to Laos by delegation from group searching for information on American soldiers
1.0,meeting,ended,visit to Laos by delegation from private group searching for information on American soldiers
1.0,meeting,ended,visit by delegation
1.0,meeting,ended,visit by delegation from private group
1.0,meeting,ended,two-week visit to Laos by delegation from private Washington-based group
1.0,meeting,ended,two-week visit to Laos by delegation from group searching for information on American soldiers
1.0,meeting,ended,visit to Laos by delegation from private group
1.0,meeting,ended,visit to Laos by delegation from group searching
1.0,meeting,ended,visit to Laos by delegation from private Washington-based group searching for information
1.0,meeting,ended,two-week visit to Laos by delegation from group searching for information
1.0,meeting,ended,visit to Laos by delegation from private group searching for information on soldiers
1.0,meeting,ended,two-week visit to Laos by delegation from private group searching for information on American soldiers
1.0,meeting,ended,two-week visit to Laos by delegation from private Washington-based group searching for information
1.0,meeting,ended,two-week visit by delegation from private group searching
