certainty,subject,verb,object
1.0,Vietnam,has,southern coast
1.0,typhoon,lashed,Vietnam 's coast
1.0,people,have,have killed
1.0,typhoon,lashed,Vietnam 's southern coast
1.0,final act,is in,cathartic process
1.0,last Ambassador,clambering aboard,helicopter on roof of embassy
1.0,Ambassador,fled Saigon,clambering aboard helicopter
1.0,last Ambassador,was greeted as,United States Ambassador
0.06843902322027395,American Ambassador,fled,clambering aboard helicopter on roof of embassy
0.06843902322027395,American Ambassador,fled,clambering aboard helicopter on roof
0.06843902322027395,last Ambassador,fled,clambering aboard helicopter
1.0,Ambassador,was greeted as,United States Ambassador
1.0,Ambassador,was,greeted
1.0,American Ambassador,fled Saigon,clambering aboard helicopter on roof
1.0,American Ambassador,was greeted as,first United States Ambassador
1.0,last Ambassador,fled Saigon,clambering aboard helicopter
1.0,last Ambassador,fled Saigon,clambering aboard helicopter on roof
1.0,Ambassador,was greeted as,first United States Ambassador
0.06843902322027395,last Ambassador,fled,clambering
1.0,last American Ambassador,was greeted as,United States Ambassador
1.0,American Ambassador,was greeted as,United States Ambassador to Hanoi
1.0,last American Ambassador,fled Saigon,clambering aboard helicopter
1.0,last American Ambassador,clambering aboard,helicopter on roof
1.0,Ambassador,fled Saigon,clambering aboard helicopter on roof
1.0,last American Ambassador,was greeted as,first United States Ambassador
1.0,last Ambassador,fled Saigon,clambering
1.0,Ambassador,clambering aboard,helicopter
1.0,last Ambassador,was,greeted
1.0,American Ambassador,clambering aboard,helicopter
1.0,American Ambassador,clambering aboard,helicopter on roof
0.06843902322027395,Ambassador,fled,clambering aboard helicopter on roof of embassy
0.06843902322027395,last American Ambassador,fled,clambering aboard helicopter on roof of embassy
1.0,American Ambassador,was,greeted
1.0,last American Ambassador,was greeted as,United States Ambassador to Hanoi
0.06843902322027395,American Ambassador,fled,clambering aboard helicopter
1.0,American Ambassador,was greeted as,United States Ambassador
1.0,last Ambassador,was greeted as,first United States Ambassador
1.0,American Ambassador,fled Saigon,clambering aboard helicopter on roof of embassy
1.0,last American Ambassador,fled Saigon,clambering aboard helicopter on roof
1.0,Ambassador,was greeted as,first United States Ambassador to Hanoi
1.0,American Ambassador,fled Saigon,clambering
1.0,last Ambassador,was greeted as,United States Ambassador to Hanoi
1.0,last Ambassador,fled,Saigon
0.06843902322027395,last American Ambassador,fled,clambering aboard helicopter
1.0,last Ambassador,clambering aboard,helicopter on roof
0.06843902322027395,last American Ambassador,fled,clambering aboard helicopter on roof
0.06843902322027395,Ambassador,fled,clambering
1.0,last American Ambassador,was,greeted
1.0,Ambassador,was greeted as,United States Ambassador to Hanoi
1.0,last American Ambassador,fled,Saigon
1.0,last Ambassador,clambering aboard,helicopter
0.06843902322027395,American Ambassador,fled,clambering
0.06843902322027395,Ambassador,fled,clambering aboard helicopter
1.0,embassy,prisoner of,war
1.0,Ambassador,clambering aboard,helicopter on roof
1.0,last American Ambassador,clambering aboard,helicopter on roof of embassy
1.0,last Ambassador,fled Saigon,clambering aboard helicopter on roof of embassy
1.0,last American Ambassador,fled Saigon,clambering
1.0,last American Ambassador,clambering aboard,helicopter
1.0,American Ambassador,fled Saigon,clambering aboard helicopter
1.0,Ambassador,fled,Saigon
1.0,Ambassador,fled Saigon,clambering aboard helicopter on roof of embassy
1.0,American Ambassador,fled,Saigon
1.0,American Ambassador,clambering aboard,helicopter on roof of embassy
1.0,last Ambassador,was greeted as,first United States Ambassador to Hanoi
0.06843902322027395,Ambassador,fled,clambering aboard helicopter on roof
1.0,American Ambassador,was greeted as,first United States Ambassador to Hanoi
0.06843902322027395,last Ambassador,fled,clambering aboard helicopter on roof
1.0,last American Ambassador,was greeted as,first United States Ambassador to Hanoi
1.0,Ambassador,clambering aboard,helicopter on roof of embassy
0.06843902322027395,last Ambassador,fled,clambering aboard helicopter on roof of embassy
1.0,Ambassador,fled Saigon,clambering
1.0,last American Ambassador,fled Saigon,clambering aboard helicopter on roof of embassy
0.06843902322027395,last American Ambassador,fled,clambering
1.0,remains,will,will buried today with military honors
1.0,full military honors,is in,Arlington National Cemetery
1.0,remains,will,will buried with honors in Arlington National Cemetery
1.0,remains,will,will buried
1.0,remains,will,will buried today with honors
1.0,remains,will,will buried with military honors in Arlington National Cemetery
1.0,remains,will,will buried with full military honors
1.0,remains,will,will buried today with full military honors in Arlington National Cemetery
1.0,remains,will,will buried today with full military honors
1.0,remains,will,will buried with full honors
1.0,remains,will,will buried today with full honors in Arlington National Cemetery
1.0,remains,will,will buried today with full honors
1.0,remains,will,will buried today with military honors in Arlington National Cemetery
1.0,remains,will,will buried today
1.0,remains,will,will buried with military honors
1.0,remains,will,will buried with full honors in Arlington National Cemetery
1.0,remains,will,will buried with honors
1.0,remains,will,will buried today with honors in Arlington National Cemetery
1.0,remains,will,will buried with full military honors in Arlington National Cemetery
1.0,American Prisoners,is in,Action
1.0,Washington-based advocacy group,League of,Families
1.0,Action,is in,Southeast Asia
