certainty,subject,verb,object
1.0,families,still missing in,Southeast Asia
1.0,full accounting,goal of was,highest priority
1.0,accounting,goal of was,highest national priority
1.0,full accounting,goal of was,highest national priority
1.0,United States intelligence agencies,were,focused
1.0,full accounting,goal of was,priority
1.0,President Reagan,told families at_time,today
1.0,goal,was,highest national priority
1.0,full accounting,goal of was,national priority
1.0,goal,was,highest priority
1.0,United States intelligence agencies,were,fully focused
1.0,President Reagan,told,families
1.0,United States intelligence agencies,were fully focused on,problem
1.0,President Reagan,told,families of American servicemen
1.0,goal,was,national priority
1.0,families,missing in,Southeast Asia
1.0,goal,was,priority
1.0,accounting,goal of was,highest priority
1.0,accounting,goal of was,priority
1.0,accounting,goal of was,national priority
1.0,United States intelligence agencies,were focused on,problem
1.0,President Reagan,told,families of servicemen
1.0,emotional meeting,is with,more 500 relatives including wives of missing Americans
1.0,Mr. Reagan,Appearing at,meeting of National League of Families of American Prisoners
1.0,Mr. Reagan,Appearing at,meeting of National League of Families
1.0,Mr. Reagan,Appearing at,meeting of National League
1.0,Mr. Reagan,received,standing ovation
1.0,Mr. Reagan,Appearing at,meeting of National League of Families of Prisoners
1.0,Mr. Reagan,Appearing at,meeting
1.0,organized expeditions,upset,talks with Laos
1.0,Reagan Administration,has become,lost
1.0,organized expeditions,upset,delicate talks
1.0,expeditions,upset,talks with Laos
0.8010779151824549,organized expeditions,delicate talks with,Laos
0.8010779151824549,organized expeditions,talks with,Laos
1.0,organized expeditions,upset,delicate talks with Laos
1.0,organized expeditions,upset,talks
1.0,Reagan Administration,has become,concerned
0.8010779151824549,expeditions,delicate talks with,Laos
1.0,expeditions,upset,talks
0.8010779151824549,expeditions,talks with,Laos
1.0,expeditions,upset,delicate talks with Laos
1.0,Reagan Administration,has become,lost during Vietnam War
1.0,organized expeditions,is in,search of missing United States servicemen
1.0,delicate talks,is with,Laos
1.0,expeditions,upset,delicate talks
1.0,Reagan Administration,lost during,Vietnam War
1.0,armed expeditionary force,entered Laos in,search of Americans rumored
1.0,force,entered Laos in,search of Americans rumored
1.0,expeditionary force,entered Laos in,search of Americans rumored
1.0,armed expeditionary force,entered Laos in,search of Americans rumored still
1.0,armed expeditionary force,entered Laos in,search
1.0,expeditionary force,entered Laos in,recent months
1.0,armed expeditionary force,entered,Laos
1.0,armed force,entered,Laos
1.0,force,entered Laos in,recent months
1.0,expeditionary force,entered Laos in,search of Americans rumored still
1.0,force,entered Laos in,months
1.0,armed force,entered Laos in,search
1.0,expeditionary force,entered Laos in,search of Americans
1.0,armed force,entered Laos in,recent months
1.0,expeditionary force,entered,Laos
1.0,expeditionary force,entered Laos in,months
1.0,armed force,entered Laos in,search of Americans rumored still
1.0,armed force,entered Laos in,months
1.0,force,entered Laos in,search of Americans
1.0,armed expeditionary force,entered Laos in,months
1.0,armed expeditionary force,entered Laos in,search of Americans
1.0,armed force,entered Laos in,search of Americans rumored
1.0,expeditionary force,entered Laos in,search
1.0,armed expeditionary force,entered Laos in,recent months
1.0,armed force,entered Laos in,search of Americans
1.0,force,entered Laos in,search
1.0,force,entered Laos in,search of Americans rumored still
1.0,force,entered,Laos
1.0,four-member American military team,will arrive for,technical discussions
1.0,four-member team,will arrive for,discussions
1.0,four-member team,will arrive for,technical discussions on Americans
1.0,team,will arrive for,technical discussions on Americans missing
1.0,four-member American military team,will arrive for,discussions on Americans
1.0,American team,will arrive for,discussions on Americans missing
1.0,team,will arrive in,Hanoi
1.0,American military team,will arrive for,discussions on Americans missing
1.0,American military team,will arrive for,technical discussions on Americans missing
1.0,four-member military team,will arrive for,discussions
1.0,four-member military team,will arrive for,discussions on Americans
1.0,American team,will arrive for,technical discussions on Americans
1.0,American team,will arrive for,technical discussions
1.0,four-member American military team,will arrive for,discussions
1.0,team,will arrive for,technical discussions on Americans
1.0,American team,will arrive for,discussions
1.0,American team,will arrive on,Wednesday
1.0,military team,will arrive on,Wednesday
1.0,four-member American team,will arrive for,technical discussions on Americans
1.0,four-member American military team,will arrive on,Wednesday
1.0,team,will arrive for,discussions on Americans
1.0,American military team,will arrive for,discussions
1.0,military team,will arrive for,discussions
1.0,American team,will arrive for,discussions on Americans
1.0,American team,will arrive for,technical discussions on Americans missing
1.0,four-member military team,will arrive for,technical discussions on Americans missing
1.0,four-member team,will arrive for,discussions on Americans missing
1.0,team,will arrive for,discussions on Americans missing
1.0,four-member American military team,will arrive for,technical discussions on Americans missing
1.0,military team,will arrive for,technical discussions
1.0,American military team,will arrive for,technical discussions on Americans
1.0,four-member American team,will arrive in,Hanoi
1.0,four-member team,will arrive in,Hanoi
1.0,four-member American military team,will arrive in,Hanoi
1.0,four-member American team,will arrive for,discussions
1.0,four-member team,will arrive for,technical discussions on Americans missing
1.0,four-member American team,will arrive on,Wednesday
1.0,four-member team,will arrive for,discussions on Americans
1.0,Pacific Command spokesman,said at_time,today
1.0,American military team,will arrive on,Wednesday
1.0,team,will arrive for,discussions
1.0,four-member American team,will arrive for,discussions on Americans
1.0,American military team,will arrive for,discussions on Americans
1.0,military team,will arrive in,Hanoi
1.0,four-member American team,will arrive for,technical discussions
1.0,four-member military team,will arrive in,Hanoi
1.0,four-member military team,will arrive for,technical discussions
1.0,four-member American team,will arrive for,technical discussions on Americans missing
1.0,four-member American military team,will arrive for,technical discussions on Americans
1.0,four-member military team,will arrive for,technical discussions on Americans
1.0,military team,will arrive for,technical discussions on Americans missing
1.0,four-member American team,will arrive for,discussions on Americans missing
1.0,four-member American military team,will arrive for,discussions on Americans missing
1.0,American military team,will arrive in,Hanoi
1.0,military team,will arrive for,technical discussions on Americans
1.0,four-member military team,will arrive for,discussions on Americans missing
1.0,military team,will arrive for,discussions on Americans
1.0,team,will arrive for,technical discussions
1.0,four-member team,will arrive on,Wednesday
1.0,team,will arrive on,Wednesday
1.0,military team,will arrive for,discussions on Americans missing
1.0,American team,will arrive in,Hanoi
1.0,four-member military team,will arrive on,Wednesday
1.0,American military team,will arrive for,technical discussions
1.0,four-member team,will arrive for,technical discussions
1.0,action,is in,Vietnam War
1.0,Laotian press agency,said at_time,today
1.0,Laos,has handed over to,United States team
1.0,press agency,said at_time,today
1.0,Vietnam,will turn over to,United States
1.0,war,is in,Southeast Asia
1.0,Vietnam,will turn over on,Friday
