certainty,subject,verb,object
1.0,Prime Minister Vo Van Kiet,said at_time,today
1.0,they,been given,significant new documents from Vietnam 's Government on American military personnel from Vietnam War
0.8421217189107396,they,significant documents on,military personnel from Vietnam War
1.0,they,been given,documents from Vietnam 's Government on personnel
1.0,they,been given,new documents on American personnel
1.0,they,been given,new documents from Vietnam 's Government on missing American military personnel
1.0,they,been given,significant documents on military personnel from Vietnam War
1.0,they,been given,significant new documents from Vietnam 's Government on American personnel
1.0,they,been given,significant documents from Vietnam 's Government on missing American personnel
0.8421217189107396,they,documents on,missing personnel from Vietnam War
0.8421217189107396,they,documents on,American personnel
0.8421217189107396,they,significant documents on,missing personnel
0.8421217189107396,they,documents on,missing American military personnel from Vietnam War
1.0,they,been given,documents from Vietnam 's Government on American personnel
0.8421217189107396,they,significant documents on,missing military personnel from Vietnam War
1.0,they,been given,significant documents from Vietnam 's Government on missing American military personnel
1.0,they,been given,significant new documents
1.0,they,been given,new documents from Vietnam 's Government on missing American personnel
1.0,they,been given,new documents from Vietnam 's Government on missing military personnel
1.0,they,been given,documents on American military personnel
1.0,they,been given,significant new documents on missing military personnel from Vietnam War
1.0,they,been given,significant new documents on missing American military personnel from Vietnam War
1.0,they,been given,new documents from Vietnam 's Government on personnel
1.0,they,been given,significant new documents from Vietnam 's Government on missing American personnel from Vietnam War
1.0,they,been given,significant new documents from Vietnam 's Government on missing personnel
1.0,they,been given,significant documents on missing American military personnel from Vietnam War
0.8421217189107396,they,significant new documents on,missing American military personnel
1.0,they,been given,documents on personnel from Vietnam War
1.0,they,been given,new documents on military personnel from Vietnam War
1.0,they,been given,documents on missing American military personnel
1.0,they,been given,significant new documents on American military personnel
0.8421217189107396,they,significant new documents on,missing personnel from Vietnam War
1.0,they,been given,significant new documents on personnel from Vietnam War
0.8421217189107396,they,significant new documents on,American personnel from Vietnam War
0.8421217189107396,they,documents on,military personnel from Vietnam War
0.8421217189107396,they,significant new documents on,personnel from Vietnam War
1.0,they,been given,significant new documents on personnel
1.0,they,been given,documents on missing American personnel from Vietnam War
1.0,they,been given,significant documents from Vietnam 's Government on missing personnel from Vietnam War
0.8421217189107396,they,new documents on,missing personnel
1.0,they,been given,significant documents from Vietnam 's Government on American personnel from Vietnam War
1.0,they,been given,significant documents on American military personnel from Vietnam War
0.8421217189107396,they,significant documents on,personnel
1.0,they,been given,documents on American personnel
0.8421217189107396,they,significant documents on,American military personnel from Vietnam War
1.0,they,been given,documents on American military personnel from Vietnam War
0.8421217189107396,they,significant new documents on,military personnel
0.8421217189107396,they,significant documents on,American military personnel
0.8421217189107396,they,significant new documents from,Vietnam 's Government
1.0,they,been given,new documents from Vietnam 's Government on American personnel from Vietnam War
1.0,they,been given,significant documents from Vietnam 's Government on missing American military personnel from Vietnam War
