certainty,subject,verb,object
1.0,United States Government,said at_time,today
1.0,team,flew to,Laos
1.0,team,flew,search for remains of Americans missing in action
1.0,team,flew,search for remains missing
1.0,team,flew at_time,today
1.0,team,flew,search for remains of Americans
1.0,team,search for,remains
1.0,team,search for,remains missing in action
1.0,team,flew,search for remains missing in action
1.0,team,search for,remains of Americans missing in action
1.0,team,search for,remains missing
1.0,team,search for,remains of Americans missing
1.0,team,flew to,southern Laos
1.0,team,search for,remains of Americans
1.0,team,flew,search for remains
1.0,team,flew,search
1.0,team,flew,search for remains of Americans missing
1.0,action,is in,Vietnam War
1.0,reliable sources,disclosed at_time,today
1.0,sources,disclosed at_time,today
1.0,Vietnam,turn over to,United States
1.0,Americans,are,listed
1.0,United States military officials,flew to,Hanoi
1.0,United States officials,returned to,Philippines
1.0,United States officials,flew to,Hanoi
1.0,United States military officials,returned at_time,today
1.0,United States officials,returned at_time,today
1.0,United States military officials,returned to,Philippines
1.0,United States,said at_time,today
1.0,B-52 crash site,is in,move settling since Vietnam War
1.0,Vietnam,has allowed Americans,war ended
1.0,Americans,participate in,search for remains of servicemen
0.33669769426858,Vietnam,has allowed,participate in search for remains of missing servicemen
1.0,Americans,participate in,search
1.0,American investigators,excavate,bomber crash site near Hanoi
0.33669769426858,Vietnam,has allowed,war ended
0.33669769426858,Vietnam,has allowed,participate
0.33669769426858,Vietnam,has allowed,participate in search for remains
1.0,investigators,excavate,bomber crash site near Hanoi
0.33669769426858,Vietnam,has allowed,participate in search
0.33669769426858,Vietnam,has allowed,participate in search for remains of servicemen
1.0,investigators,excavate bomber crash site at_time,month
1.0,Americans,participate in,search for remains of missing servicemen
1.0,war,ended in,1975
1.0,investigators,excavate,bomber crash site
1.0,Vietnam,has allowed Americans,war ended in 1975
0.33669769426858,Vietnam,has allowed,war ended in 1975
1.0,American investigators,excavate bomber crash site at_time,month
1.0,Vietnam,has allowed,Americans
1.0,Americans,participate in,search for remains
1.0,American investigators,excavate,bomber crash site
1.0,significant breakthrough,is in,"effort account for 2,441 Americans"
1.0,agreement,was,significant
1.0,action,is in,Indochina
1.0,military officials,discuss,fate of American servicemen
1.0,officials,discuss,fate
1.0,fate,excavate crash site in,such joint effort
1.0,fate,excavate crash site in,such effort of United States
1.0,American military officials,discuss,fate
1.0,American officials,discuss,fate of servicemen listed
1.0,American military officials,discuss,fate of American servicemen listed
1.0,American officials,discuss,fate
1.0,military officials,arrived in,Hanoi
1.0,fate,excavate crash site in,joint effort
1.0,fate,excavate,crash site
1.0,fate,excavate crash site in,first effort of United States
1.0,officials,arrived at_time,today
1.0,fate,excavate crash site in,such joint effort of United States
1.0,American military officials,arrived at_time,today
1.0,American military officials,discuss,fate of American servicemen
1.0,American military officials,discuss,fate of servicemen listed
1.0,military officials,discuss,fate of American servicemen listed
1.0,fate,excavate crash site in,first such effort
1.0,action,is in,Vietnam
1.0,fate,excavate crash site in,first joint effort of United States
1.0,officials,arrived in,Hanoi
1.0,officials,discuss,fate of servicemen listed
1.0,officials,discuss,fate of servicemen
1.0,American military officials,arrived in,Hanoi
1.0,fate,excavate crash site in,effort
1.0,military officials,discuss,fate of servicemen listed
1.0,officials,discuss,fate of American servicemen listed
1.0,fate,excavate crash site in,such effort
1.0,military officials,discuss,fate
1.0,fate,excavate crash site in,joint effort of United States
1.0,American officials,arrived at_time,today
1.0,fate,excavate crash site in,first such effort of United States
1.0,fate,excavate,crash site of B-52 bomber
1.0,fate,excavate crash site in,effort of United States
1.0,fate,excavate crash site in,first effort
1.0,military officials,discuss,fate of servicemen
1.0,officials,discuss,fate of American servicemen
1.0,American officials,discuss,fate of servicemen
1.0,fate,excavate crash site in,first such joint effort of United States
1.0,American officials,discuss,fate of American servicemen listed
1.0,American officials,arrived in,Hanoi
1.0,American officials,discuss,fate of American servicemen
1.0,fate,excavate crash site in,first such joint effort
1.0,military officials,arrived at_time,today
1.0,American military officials,discuss,fate of servicemen
1.0,fate,excavate crash site in,first joint effort
1.0,Vietnam,asked,United States
1.0,Vietnam,asked United States at_time,today
1.0,United States,send,delegation
1.0,United States,send,high-level delegation
1.0,United States,send delegation to,Hanoi
0.8880094809028524,American servicemen,standing watch as,boxes
1.0,American servicemen,were loaded onto,transport plane for flight
0.7802942394140986,containing,remains of,missing Americans
1.0,servicemen,were loaded onto,transport plane for flight to Hawaii
1.0,American servicemen,were,loaded
0.1805907273740341,American servicemen,standing as,boxes
1.0,American servicemen,were loaded onto,transport plane in Hanoi for flight to Hawaii
0.8880094809028524,American servicemen,standing,watch
1.0,servicemen,were loaded onto,transport plane in Hanoi for flight
1.0,American servicemen,were loaded onto,transport plane
1.0,American servicemen,were loaded onto,transport plane in Hanoi
0.7802942394140986,containing,remains of,seven missing Americans
1.0,transport plane,is in,Hanoi
1.0,servicemen,were loaded onto,transport plane in Hanoi
1.0,American servicemen,were loaded onto,transport plane for flight to Hawaii
1.0,servicemen,were loaded onto,transport plane for flight
0.8880094809028524,servicemen,standing watch as,boxes
0.8880094809028524,servicemen,standing,watch
1.0,American servicemen,were loaded onto,transport plane in Hanoi for flight
1.0,servicemen,were,loaded
1.0,servicemen,were loaded onto,transport plane
1.0,servicemen,were loaded onto,transport plane in Hanoi for flight to Hawaii
0.1805907273740341,servicemen,standing as,boxes
1.0,Army laboratory,identified,remains of six American servicemen
1.0,Army laboratory,identified,remains of six American servicemen killed
0.5014008711832381,Army laboratory,remains of,six servicemen killed in Vietnam War
1.0,Army laboratory,identified,remains
0.5014008711832381,Army laboratory,remains of,six American servicemen killed
1.0,Army laboratory,identified,remains of six servicemen
0.5014008711832381,Army laboratory,remains of,six American servicemen
0.5014008711832381,Army laboratory,remains of,six servicemen
0.5014008711832381,Army laboratory,remains of,six servicemen killed
1.0,Army laboratory,identified,remains of six servicemen killed
1.0,Army laboratory,identified,remains of six American servicemen killed in Vietnam War
1.0,Army laboratory,identified,remains of six servicemen killed in Vietnam War
0.5014008711832381,Army laboratory,remains of,six American servicemen killed in Vietnam War
1.0,Pentagon,announced at_time,today
1.0,Foreign Minister Nguyen Co Thach,said at_time,today
1.0,Vietnam,has,official radio
1.0,Vietnam 's official radio,said at_time,today
1.0,Vietnam 's radio,said at_time,today
1.0,President Reagan,said at_time,Thursday
1.0,fullest possible accounting,is in,action
1.0,Vietnam,appear,willing
1.0,United States,appear,willing
1.0,United States,appear according to,statements from countries
1.0,Vietnam,appear according to,statements from countries
1.0,Reagan Administration,made,it would depend on level of Vietnamese cooperation in search for missing Americans
1.0,it,depend on,higher level of Vietnamese cooperation
1.0,it,depend on,higher level of cooperation in search
1.0,Reagan Administration,made,it would depend on significantly higher level
1.0,it,depend on,level of Vietnamese cooperation in search
1.0,it,depend on,significantly level of Vietnamese cooperation in search for missing Americans
1.0,it,depend on,higher level of Vietnamese cooperation in search for Americans
1.0,it,depend on,level of Vietnamese cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on significantly level of cooperation in search for Americans
1.0,it,depend on,higher level of cooperation in search for missing Americans
1.0,it,depend on,significantly level of cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on level of cooperation in search for Americans
1.0,it,depend on,level of cooperation in search for missing Americans
1.0,it,depend on,higher level of Vietnamese cooperation in search
1.0,it,depend on,significantly higher level of cooperation
1.0,Reagan Administration,made,it would depend on significantly level of Vietnamese cooperation in search
1.0,Reagan Administration,made,it would depend on significantly higher level of Vietnamese cooperation
1.0,Reagan Administration,made,it would depend on higher level of Vietnamese cooperation in search
1.0,Reagan Administration,made in,statement
1.0,it,depend on,level of cooperation in search
1.0,it,depend on,significantly level of Vietnamese cooperation
1.0,Reagan Administration,made,it would depend on significantly higher level of cooperation
1.0,Reagan Administration,made,it would depend on significantly level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made in,statement issued in Bangkok
1.0,it,depend on,level of Vietnamese cooperation in search for Americans
1.0,it,depend on,level of Vietnamese cooperation
1.0,Vietnamese cooperation,is in,search for missing Americans
1.0,Reagan Administration,made,it would depend on higher level of Vietnamese cooperation
1.0,Reagan Administration,made,it would depend on higher level of Vietnamese cooperation in search for missing Americans
1.0,it,depend on,level
1.0,Reagan Administration,made,it would depend on significantly level of cooperation in search for missing Americans
1.0,it,depend on,higher level of cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on higher level
1.0,Reagan Administration,made,it would depend on higher level of cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on level of cooperation in search
1.0,Reagan Administration,made,it would depend on level of cooperation in search for missing Americans
1.0,it,depend on,significantly level of cooperation in search
1.0,it,depend on,significantly level
1.0,it,depend on,significantly higher level of cooperation in search for missing Americans
1.0,Reagan Administration,made in,statement issued by United States Embassy
1.0,Reagan Administration,made,it would depend on significantly higher level of cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on higher level of cooperation in search
1.0,Reagan Administration,made,it would depend on significantly higher level of Vietnamese cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on significantly level of Vietnamese cooperation
1.0,it,depend on,significantly higher level of cooperation in search
1.0,it,depend on,significantly level of cooperation in search for missing Americans
1.0,it,depend on,significantly higher level of cooperation in search for Americans
1.0,it,depend on,level of cooperation
1.0,Reagan Administration,made,it would depend on level
1.0,it,depend on,significantly higher level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on significantly higher level of cooperation in search
1.0,it,depend on,significantly higher level of Vietnamese cooperation
1.0,Reagan Administration,made,it would depend on higher level of cooperation in search for Americans
1.0,it,depend on,significantly higher level of Vietnamese cooperation in search
1.0,it,depend on,significantly level of Vietnamese cooperation in search
1.0,Reagan Administration,made,it would depend on significantly level of Vietnamese cooperation in search for missing Americans
1.0,it,depend on,significantly higher level of Vietnamese cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on higher level of cooperation
