certainty,subject,verb,object
1.0,handling,is in,Southeast Asia
0.9740445841048352,investigating,handling of,missing servicemen
1.0,Senate committee,toned down,its criticism of former President Richard M. Nixon
1.0,Senate committee,toned down,its criticism
1.0,his,Secretary,Henry A. Kissinger
0.9740445841048352,investigating,handling of,missing American servicemen
0.9740445841048352,investigating,handling of,servicemen
0.9740445841048352,investigating,handling of,American servicemen
0.9740445841048352,investigating,handling in,Southeast Asia
1.0,prisoners,were left,forces withdrew in 1973
1.0,prisoners,were left,when American forces withdrew from South Vietnam
1.0,prisoners,were left,when American forces withdrew from South Vietnam in 1973
1.0,prisoners,were left,American forces withdrew in 1973
1.0,prisoners,were left,American forces withdrew
1.0,prisoners,were left,when American forces withdrew in 1973
1.0,prisoners,were left,forces withdrew from South Vietnam in 1973
1.0,prisoners,were left,when American forces withdrew
1.0,prisoners,were left,when forces withdrew from South Vietnam in 1973
1.0,prisoners,were left,American forces withdrew from South Vietnam
1.0,American forces,withdrew from,South Vietnam
1.0,prisoners,were,left
1.0,prisoners,were left,forces withdrew
1.0,prisoners,were left,forces withdrew from South Vietnam
1.0,American forces,withdrew in,1973
1.0,prisoners,were left,when forces withdrew in 1973
1.0,forces,withdrew from,South Vietnam
1.0,prisoners,were left,American forces withdrew from South Vietnam in 1973
1.0,forces,withdrew in,1973
1.0,prisoners,were left,when forces withdrew
1.0,prisoners,were left,when forces withdrew from South Vietnam
1.0,Committee members,were split with,two Republican Senators
1.0,Committee members,were,split
1.0,Committee members,were split with,two Senators
1.0,thorough Senate committee report,released on,fate
1.0,Senate committee report,released on,fate
1.0,Senate committee report,released on,fate missing
1.0,thorough Senate committee report,released,yesterday
1.0,Senate committee report,released,yesterday
1.0,Senate committee report,released on,fate Americans
1.0,Senate committee report,released on,fate Americans missing
1.0,thorough Senate committee report,released on,fate Americans missing
1.0,thorough Senate committee report,released on,fate missing
1.0,thorough Senate committee report,released on,fate Americans
1.0,Winston Lord,said at_time,today
1.0,He,declined,say
