certainty,subject,verb,object
1.0,remains,have,have returned
1.0,remains,have,have returned to United States
1.0,United States military,according to,Joint Task Force-Full Accounting
1.0,American prisoners,were held during,Vietnam War
1.0,American prisoners,were,held
1.0,prisoners,were,held
1.0,prisoners,were,where held during Vietnam War
1.0,Hilton Hanoi Opera hotel,has opened,blocks from Hoa Lo
1.0,Hilton Hanoi Opera hotel,has opened,few blocks
1.0,prisoners,were,where held
1.0,Hilton Hanoi Opera hotel,has opened,few blocks from Hoa Lo
1.0,prisoners,were held during,Vietnam War
1.0,Hilton Hanoi Opera hotel,has opened,blocks
1.0,American prisoners,were,where held
1.0,American prisoners,were,where held during Vietnam War
1.0,Unknowns,is in,Arlington National Cemetery
1.0,Pentagon,said at_time,today
1.0,America,with,missing servicemen
