certainty,subject,verb,object
1.0,North Korea,announced at_time,today
1.0,they,begin,their joint effort search
0.13578433017498406,they,expect,begin
1.0,they,begin,their first joint effort search for remains
1.0,they,begin,their first effort search for remains
1.0,they,expect at_time,later year
1.0,they,begin,their first joint effort search
1.0,they,begin,their joint effort search for remains
1.0,they,expect at_time,year
1.0,United States,announced at_time,today
1.0,they,begin,their effort search
1.0,they,begin,their first effort search
1.0,they,begin,their effort search for remains
1.0,Pentagon investigators,soon wandering,Korean countryside
1.0,Pentagon investigators,searching for,evidence
1.0,Pentagon investigators,searching for,evidence of burial sites
1.0,Pentagon investigators,soon wandering,North Korean countryside
1.0,Pentagon investigators,searching for,evidence of burial sites missing
1.0,Pentagon investigators,wandering,Korean countryside
1.0,Pentagon investigators,wandering,North Korean countryside
1.0,Pentagon investigators,wandering,countryside
1.0,Pentagon investigators,soon wandering,countryside
1.0,Pentagon investigators,searching for,evidence of burial sites of Americans
1.0,broad improvement,is in,ties between two countries
1.0,Pentagon investigators,searching for,evidence of burial sites of Americans missing
1.0,Americans,missing in,Korea War
1.0,negotiations,is in,New York City
1.0,Americans,reported,missing
0.9797675430634244,Americans,most of,them
1.0,United States,commended North Korea In,joint statement
1.0,agreement,contribute to,improvement of relations
1.0,United States,commended,North Korea
1.0,agreement,contribute to,improvement
1.0,United States,commended North Korea In,statement
1.0,U.S. servicemen,has,remains
1.0,countries,expressed,their belief
1.0,President Clinton,announced at_time,today
1.0,he,nominating,former American prisoner
1.0,he,nominating,former American prisoner of war
1.0,Defense Department,insisted at_time,today
1.0,600 North Vietnamese servicemen,be,buried
1.0,North Vietnamese servicemen,be,buried
1.0,North Vietnamese servicemen,are,thought
1.0,600 North Vietnamese servicemen,are thought,buried
1.0,600 North Vietnamese servicemen,are,where thought
1.0,600 North Vietnamese servicemen,are,thought
1.0,North Vietnamese servicemen,are thought,buried
1.0,North Vietnamese servicemen,are,where thought
