certainty,subject,verb,object
1.0,Laotians,step up,search for Americans missing since Vietnam War
1.0,Washington,considering,problems of isolated country
0.6681989598596031,Laotians,search for,Americans missing since Vietnam War
1.0,Washington,considering,humanitarian problems of country
1.0,Laotians,step up,search for Americans missing
1.0,Washington,considering,problems of country
1.0,United States,announced at_time,today
1.0,Washington,considering,problems
1.0,Laotians,step up,search
1.0,Washington,considering,humanitarian problems of isolated country
1.0,Laos,announced at_time,today
0.6681989598596031,Laotians,search for,Americans missing
1.0,Laotians,step up,search for Americans
0.6681989598596031,Laotians,search for,Americans
1.0,Washington,considering,humanitarian problems
1.0,agreement,is,similar
1.0,Gen. John W. Vessey Jr.,Chairman of,Joint Chiefs
1.0,Reagan Administration,has proposed to,Vietnam
1.0,Gen. John W. Vessey Jr.,Hanoi as,Presidential representative discuss
1.0,United States,prepare for,new rounds of talks
1.0,Japanese,are,are criticized
1.0,United States,prepare for,rounds
1.0,United States,prepare for,new rounds of talks on missing Americans
1.0,United States,prepare for,new rounds of talks with Vietnam on Americans
1.0,Association,prepare for,rounds
1.0,United States,prepare for,rounds of talks with Vietnam on Americans
1.0,Association,prepare for,rounds of talks with Vietnam
1.0,Association,prepare for,new rounds of talks with Vietnam on Americans
1.0,talks,is with,Vietnam
1.0,United States,prepare for,new rounds
1.0,United States,prepare for,rounds of talks
1.0,Japanese,steadily expanding,Hanoi trade
1.0,United States,prepare for,rounds of talks with Vietnam on missing Americans
1.0,Association,prepare for,new rounds of talks with Vietnam
1.0,United States,prepare for,new rounds of talks with Vietnam
1.0,United States,prepare for,rounds of talks with Vietnam
1.0,Association,prepare for,rounds of talks
1.0,Association,prepare for,rounds of talks with Vietnam on missing Americans
1.0,Association,prepare for,new rounds
1.0,Association,prepare for,rounds of talks on missing Americans
1.0,Association,prepare for,rounds of talks with Vietnam on Americans
1.0,Association,prepare for,rounds of talks on Americans
1.0,Association,prepare for,new rounds of talks on Americans
1.0,United States,prepare for,rounds of talks on Americans
1.0,United States,prepare for,rounds of talks on missing Americans
1.0,Japanese,expanding,Hanoi trade
1.0,Association,prepare for,new rounds of talks
1.0,United States,prepare for,new rounds of talks on Americans
1.0,Association,prepare for,new rounds of talks on missing Americans
1.0,talks,is in,Hanoi
1.0,meeting,is with,John W. Vessey Jr.
1.0,impasse,is in,talks over fate of missing American sevicemen
1.0,meeting,is in,Hanoi
1.0,President Reagan,has,special envoy
1.0,Washington Post,reported in,its Sunday editions
1.0,meeting,is with,special envoy
1.0,George P. Shultz,confirmed at_time,today
1.0,Vietnam,agreed to,American conditions
1.0,Vietnam,agreed to,conditions
1.0,Mr. Shultz,speaking at,meeting of National League of Families
1.0,Mr. Shultz,speaking at,meeting of National League of Families of Prisoners
1.0,Mr. Shultz,speaking at,annual meeting
1.0,Mr. Shultz,speaking at,meeting of National League
1.0,Mr. Shultz,speaking at,annual meeting of National League of Families of American Prisoners
